Company,Country,Director,Genre,Title,Runtime,Writer,Year
Cinequanon,Argentina,Eliseo Subiela,Drama,ManFacingSoutheast,105,Eliseo Subiela,1986
Corporation Image M & M,Canada,Denys Arcand,Comedy,TheDeclineoftheAmericanEmpire,101,Denys Arcand,1986
Rastar Films,USA,Jack Fisk,Drama,VioletsAreBlue,88,Naomi Foner,1986
Portreeve,UK,Simon Langton,Thriller,TheWhistleBlower,100,Julian Bond,1986
American Playhouse,USA,Jerrold Freedman,Drama,NativeSon,111,Richard Wesley,1986
Carson Productions,USA,Eugene Corr,Drama,DesertBloom,105,Linda Remy,1986
Alternate Current,USA,Lizzie Borden,Drama,WorkingGirls,93,Lizzie Borden,1986
Cin� Valse,France,Bertrand Blier,Comedy,Mnage,84,Bertrand Blier,1986
Cam�ras Continentales,Denmark,Henning Carlsen,Biography,Oviri,100,Henning Carlsen,1986
Film Corporation of Kenya,UK,Raju Patel,Action,IntheShadowofKilimanjaro,100,T. Michael Harry,1986
Cineplex-Odeon Films,Australia,Tim Burstall,Drama,Kangaroo,108,Evan Jones,1986
Cannon Group,USA,Albert Pyun,Action,DangerouslyClose,95,Scott Fields,1986
Hyperion Pictures,USA,Carroll Ballard,Family,Nutcracker,100,Kent Stowell,1986
Produzioni Europee Associate (PEA),Italy,Federico Fellini,Comedy,GingerandFred,125,Federico Fellini,1986
Metro-Goldwyn-Mayer (MGM),USA,Alan J. Pakula,Crime,DreamLover,104,Jon Boorstin,1986
MTM Enterprises,USA,Allan Burns,Drama,JustBetweenFriends,110,Allan Burns,1986
Lynn-Davis Productions,USA,Gary Hudson,Action,ThunderRun,90,Charles Davis,1986
Longshot,USA,Paul Bartel,Comedy,TheLongshot,89,Tim Conway,1986
Silver Screen Partners II,USA,Michael Dinner,Comedy,OffBeat,92,Dezs� Magyar,1986
Roundhouse,USA,Joe Roth,Drama,StreetsofGold,95,Dezs� Magyar,1986
Convy-Fimberg Productions,USA,Bert Convy,Action,WeekendWarriors,100,Bruce Belland,1986
J&M; Entertainment,UK,Zoran Perisic,Action,SkyBandits,100,Thom Keyes,1986
Cinetel Films,USA,Fred Olen Ray,Action,ArmedResponse,86,T.L. Lankford,1986
Cannon City Produktie Maatschappij B.V.,Netherlands,Franco Zeffirelli,Drama,Otello,100,Arrigo Boito,1986
Alliance Communications Corporation,USA,Rob Nilsson,Drama,OntheEdge,95,Roy Kissin,1986
Action Communications,USA,Frank Harris,Action,LowBlow,100,Leo Fong,1986
Cote Blanche Productions,USA,Glen Pitre,Drama,BelizairetheCajun,103,Glen Pitre,1986
Les Films 13,France,Claude Lelouch,Drama,AManandaWoman20YearsLater,112,Claude Lelouch,1986
New Line Cinema,USA,Clay Borris,Action,QuietCool,100,Clay Borris,1986
Not specified,USA,Gideon Amir,Action,BehindEnemyLines,90,Malcolm Barbour,1986
Not specified,USA,Francis Schaeffer,Action,WiredtoKill,86,Francis Schaeffer,1986
Fringe Dwellers Productions,Australia,Bruce Beresford,Drama,TheFringeDwellers,98,Bruce Beresford,1986
T. Films,France,Andr� T�chin�,Crime,SceneoftheCrime,90,Andr� T�chin�,1986
Hanna-Barbera Productions,USA,Don Lusk,Animation,GoBotsBattleoftheRockLords,75,Jeff Segal,1986
Channel Four Films,UK,Charles Gormley,Comedy,TheGospelAccordingtoVic,92,Charles Gormley,1986
Grace,USA,Dominic Orlando,Action,KnightsoftheCity,87,Leon Isaac Kennedy,1986
Embassy Pictures,USA,Robert M. Young,Comedy,SavingGrace,112,Celia Gittelson,1986
Cannon Films,USA,Filippo Ottoni,Comedy,DetectiveSchoolDropouts,92,Lorin Dreyfuss,1986
